numQA,questionId,question,respondent,answer,numGood,solved,Updated
0,1,魔法の杖が反応しない時の対処法は？,KENICHI_OKADA,杖の先端を確認し、汚れや傷がないか確認してください。また、魔法のエネルギーを感じるか確認し、必要であれば魔法省の杖メンテナンス部門へ持ち込んでください。,9,True,2023/09/02 16:10:46
1,2,呪文がうまく発動しない時の対処法は？,HIROKO_MURATA,呪文の発音やリズムを確認し、正しく唱えているか再度練習してください。,5,False,2023/09/02 19:51:19
2,3,魔法免許の更新申請書の書き方は？,YUSUKE_HASEGAWA,必要事項を全て正確に記入し、最後に魔法の印を押してください。,5,True,2023/09/02 16:57:33
3,3,魔法免許の更新申請書の書き方は？,TOMOKO_SUGIYAMA,ボールペンで書きます,1,False,2023/09/02 02:21:13
4,16,魔法の飛行箒が浮かないときは？,HIROKO_MURATA,箒の先端としっぽの部分を確認し、傷や汚れがないかチェックしてください。また、魔法エネルギーが切れている可能性も考えられます。,5,True,2023/09/02 13:57:13
5,5,魔法の薬の調合方法について知りたい。,DAISUKE_SAITO,魔法省公式の薬調合書を参照するか、魔法薬学部へお問い合わせください。,5,True,2023/09/02 01:26:19
6,1,魔法の杖が反応しない時の対処法は？,YUSUKE_HASEGAWA,杖の電池がないか確認してください。,9,False,2023/09/02 07:09:54
7,6,魔法の動物を飼いたいのですが許可は必要ですか？,YUSUKE_HASEGAWA,はい、魔法の動物を飼う場合は魔法省からの許可が必要です。詳しくは魔法生態管理部へお問い合わせください。,5,True,2023/09/02 15:37:48
8,1,魔法の杖が反応しない時の対処法は？,HIROKO_MURATA,わからないです,2,False,2023/09/02 11:05:30
9,7,魔法の書についてのレンタルは可能ですか？,HIROKO_MURATA,はい、魔法省図書館でのレンタルが可能です。ただし、一部貸し出し不可の書籍もございますのでご注意ください。,3,False,2023/09/02 04:05:57
10,8,魔法の石について学びたい。,TOMOKO_SUGIYAMA,魔法の石に関する研究や講義は魔法大学で行われています。また、魔法省内の関連部署でも情報提供が可能です。,3,False,2023/09/02 00:42:16
11,9,魔法の試験について知りたい。,TOMOKO_SUGIYAMA,魔法の基礎試験や上級試験など、各種試験の情報は魔法省試験部から取得できます。,3,False,2023/09/02 02:10:28
12,10,魔法の歴史を学びたい。,HIROKO_MURATA,魔法の歴史については、魔法歴史学会や魔法省図書館が豊富な資料を提供しています。,3,False,2023/09/02 16:18:59
13,11,魔法の競技に参加したい。,TOMOKO_SUGIYAMA,魔法の競技に関する情報や参加方法は、魔法スポーツ協会または魔法省スポーツ部から取得できます。,3,False,2023/09/02 04:35:10
14,12,魔法の通信手段について知りたい。,HIROKO_MURATA,魔法の通信は、専用の魔法石や魔法の鳥を使用して行われます。詳しくは魔法通信部へお問い合わせください。,3,False,2023/09/02 00:54:21
15,13,魔法の保護についての情報を求めています。,TOMOKO_SUGIYAMA,魔法の保護に関するポリシーや法律は、魔法法制部が詳しく案内しています。,3,False,2023/09/02 03:51:31
16,14,魔法のエネルギー源について知りたい。,TOMOKO_SUGIYAMA,魔法のエネルギー源は、特定の魔法の石や天体の動き、自然の力などが関与しています。魔法エネルギー研究所で詳しい情報が提供されています。,3,False,2023/09/02 16:46:51
17,15,魔法の道具を購入したい。,HIROKO_MURATA,魔法の道具の購入は、魔法市場や魔法省公認の店舗で行うことができます。,3,False,2023/09/02 00:21:18
18,2,呪文がうまく発動しない時の対処法は？,MAYU_NAKAJIMA,呪文の発音やリズムを確認し、正しく唱えているか再度練習してください。それでも解決しない場合はマネージャーに呪文指導を仰いでください。,16,False,2023/09/02 03:44:44
19,4,魔法省にはどのような動物がいますか？,TOMOKO_SUGIYAMA,魔法省にはスカイドラゴン、魔法の猫、フェアリーなど、さまざまな魔法生物がいます。職員たちは彼らと共に業務を行っています。,6,True,2023/09/02 03:40:44
20,4,魔法省にはどのような動物がいますか？,AMI_KOBAYASHI,魔法省には、スカイドラゴンのスカイラーくん（ドラゴンの炎の息をエネルギーとして利用する）、魔法の猫のウィスカーちゃん（最大で1日に3つの魔法呪文を発動できる）、フェアリーのピクシー（最大で1時間の飛行が可能）、カモフラージュ生物のブレンディ（最大で2時間の透明化）、そして魔法の植物のバドシー（知識を提供し、1キログラムから2キログラムの成分を収穫可能）など、さまざまな魔法生物を飼育しており、動物たちは職員の業務を様々な面でサポートしています。,6,True,2023/09/02 03:44:44
